code,category,original
86ed3e,統編,20373843
4e68e2,姓名,范柔豪
79dcae,地址,新北市板橋區重慶路四段17巷22號9樓
8bcf1b,姓名,宋宇慈
6ae6b4,市話,02-1506-1109
2f64a5,手機,0917-372-491
929bfb,電子郵件,sung.yu.tzu95@mail.example.org
094c9a,姓名,方怡翔
e8112e,身分證,L283213667
1b81d1,地址,台北市大同區市府路297號
726cbf,手機,0966818866
8d093c,電子郵件,fang.yi.hsiang@example.com.tw
c6577c,姓名,宋宇慈
64bad6,電子郵件,sung.yu.tzu95@mail.example.org
dd9d8a,姓名,方怡翔
0a7edc,電子郵件,sung.yu.tzu95@mail.example.org
e76a0a,電子郵件,fang.yi.hsiang@example.com.tw
c0f695,姓名,宋宇慈
dc35bc,市話,02-1506-1109
43fbf6,手機,0917-372-491
8c38d0,電子郵件,sung.yu.tzu95@mail.example.org
913b55,姓名,傅柏萱
1a17df,市話,(02)5047-4554
3f5a6c,手機,0924-028-887
69d2d4,電子郵件,sales@example.com.tw
b65996,姓名,周博
22c900,市話,07-6769-764
029e73,手機,0968-532-700
6ae894,電子郵件,sales@example.net
29b74b,姓名,方怡翔
14261f,手機,0966818866
4e62b7,電子郵件,fang.yi.hsiang@example.com.tw
e6d488,姓名,徐文儀
ce4bb7,手機,0966-023-046
a7da80,公司,築夢實業股份有限公司
91e359,統編,20373843
9702a1,姓名,范柔豪
18433b,地址,新北市板橋區重慶路四段17巷22號9樓
57f7c9,市話,02-1506-1109
0cea19,姓名,方怡翔
770beb,身分證,L283213667
c59fef,地址,台北市大同區市府路297號
9d571c,手機,0966818866
0352af,姓名,劉詩綺
bca2b8,身分證,Q158359867
810dd6,手機,0909879551
63e075,公司,築夢實業股份有限公司
