code,category,original
350790,姓名,阮怡軒
5b577a,手機,0945 324 871
8abbff,地址,桃園市八德區大同路167號
d5f4b6,地址,台南市北區公益大道87號
806a4c,姓名,阮怡軒
08e68b,手機,0975-504-494
6944ac,身分證,A282477560
cd3f22,電子郵件,juan.yi.hsuan@example.net
ade9f5,市話,037-7765103
5b6fff,地址,台北市北投區忠孝路268巷2弄489號9樓
4d7144,統編,80869772
bbb409,姓名,戴冠誠
c93195,公司,嘉宏資訊股份有限公司
af8966,市話,(02)0901-5633
d22fd5,手機,0961413719
e43013,電子郵件,tai.kuan.cheng@mail.example.org
17cb2b,姓名,阮怡軒
562968,電子郵件,juan.yi.hsuan94@example.net
c8446a,電子郵件,service@example.com.tw
feb586,姓名,阮怡軒
264a2a,地址,彰化縣員林市青年路一段436號
f80ddf,姓名,廖欣蓉
cc91bc,手機,0971 054 527
e54066,手機,0976 259 414
