code,category,original
ce767e,公司,築夢實業股份有限公司
0aa08d,統編,20373843
677324,姓名,范柔豪
8f93ab,地址,新北市板橋區重慶路四段17巷22號9樓
2676ff,姓名,宋宇慈
483731,市話,02-1506-1109
9def8e,手機,0917-372-491
cc690e,電子郵件,sung.yu.tzu95@mail.example.org
2f5530,姓名,方怡翔
0895f1,身分證,L283213667
54d6a9,地址,台北市大同區市府路297號
e50e6e,手機,0966818866
ef306a,電子郵件,fang.yi.hsiang@example.com.tw
3bac11,姓名,宋宇慈
00e499,電子郵件,sung.yu.tzu95@mail.example.org
1cbee4,姓名,方怡翔
b6d876,電子郵件,sung.yu.tzu95@mail.example.org
55adc9,電子郵件,fang.yi.hsiang@example.com.tw
264a11,姓名,宋宇慈
d3ccec,市話,02-1506-1109
4de4f1,手機,0917-372-491
f827c3,電子郵件,sung.yu.tzu95@mail.example.org
9b1913,姓名,傅柏萱
690eca,市話,(02)5047-4554
0bf55d,手機,0924-028-887
0ec30d,電子郵件,sales@example.com.tw
b3127b,姓名,周博
2bae41,市話,07-6769-764
be37a5,手機,0968-532-700
9ec790,電子郵件,sales@example.net
b7ba28,姓名,方怡翔
c8d782,手機,0966818866
1b764d,電子郵件,fang.yi.hsiang@example.com.tw
3bd1bc,姓名,徐文儀
d85981,手機,0966-023-046
c02192,公司,築夢實業股份有限公司
bb25f0,統編,20373843
d57966,姓名,范柔豪
01b0fe,地址,新北市板橋區重慶路四段17巷22號9樓
1e5da8,市話,02-1506-1109
ce7bc7,姓名,方怡翔
791dde,身分證,L283213667
6a69ec,地址,台北市大同區市府路297號
bd2785,手機,0966818866
600878,姓名,劉詩綺
60c522,身分證,Q158359867
df13b9,手機,0909879551
19c9e9,公司,築夢實業股份有限公司
